classe età,nome,frequenza
80-89,FRANCESCA,102
80-89,PIERINA,101
80-89,LIDIA,101
80-89,LUCIA,100
80-89,FERNANDA,100
80-89,MARGHERITA,99
80-89,LUISA,97
80-89,MILENA,96
80-89,RITA,94
80-89,TERESA,89
80-89,LEDA,89
80-89,LICIA,85
80-89,NADA,84
80-89,ADA,83
80-89,ANGELA,83
80-89,VILMA,82
80-89,IDA,81
80-89,TOSCA,76
80-89,MARINA,73
80-89,ELDA,73
80-89,CLARA,73
80-89,PAOLA,71
80-89,GIULIA,71
80-89,VERA,70
80-89,GABRIELLA,70
80-89,MARIA TERESA,69
80-89,FIORELLA,65
80-89,VANDA,64
80-89,CATERINA,64
80-89,CARMELA,64
80-89,BIANCA,64
80-89,LORETTA,63
80-89,GIGLIOLA,62
80-89,GRAZIA,61
80-89,LORENA,58
80-89,VALERIA,57
80-89,ANTONIETTA,57
80-89,EMILIA,55
80-89,ALDA,55
80-89,ANTONIA,54
80-89,ALBA,51
80-89,NELLA,51
80-89,ANNUNZIATA,50
80-89,NARA,49
80-89,INES,48
80-89,VANNA,48
80-89,ELSA,47
80-89,MARTA,46
80-89,EDDA,45
80-89,OLGA,45
80-89,FLORA,45
80-89,VITTORIA,44
80-89,LOREDANA,43
80-89,IVANA,41
80-89,SARA,41
80-89,IRMA,41
80-89,TINA,41
80-89,MIRANDA,40
80-89,EMMA,40
80-89,ASSUNTA,40
80-89,CONCETTA,39
80-89,ROSSANA,39
80-89,RENZA,36
80-89,PIERA,36
80-89,ROSINA,36
80-89,ANNITA,35
80-89,VINCENZA,35
80-89,FEDORA,34
80-89,ANNAMARIA,34
80-89,ADELE,33
80-89,IOLE,33
80-89,NORMA,33
80-89,ELVIRA,33
80-89,LILIA,31
80-89,CESARINA,30
80-89,WILMA,29
80-89,ORNELLA,29
80-89,FILOMENA,29
80-89,AMELIA,29
80-89,CAROLINA,29
80-89,DELIA,29
80-89,LUIGIA,28
80-89,ROMANA,28
80-89,ELIA,28
80-89,LORENZA,28
80-89,SIMONETTA,28
80-89,EDA,28
80-89,NATALINA,28
80-89,ELEONORA,28
80-89,LUIGINA,27
80-89,COSETTA,27
80-89,LIVIA,27
80-89,ROSETTA,27
80-89,ILVA,26
80-89,ELISABETTA,25
80-89,MARIA GIOVANNA,25
80-89,RAFFAELLA,25
80-89,SILVIA,24
80-89,ANGIOLINA,24
80-89,FOSCA,23
80-89,ANDREINA,23
80-89,MORENA,23
80-89,TAMARA,23
80-89,GABBRIELLA,23
80-89,ROSALIA,23
80-89,PRIMETTA,23
80-89,ISABELLA,22
80-89,NEDA,22
80-89,ALBERTINA,22
80-89,ISOLINA,22
80-89,MARIA ANTONIETTA,21
80-89,ROSARIA,21
80-89,ELISA,21
80-89,LIANA,21
80-89,WANDA,21
80-89,ITALIA,21
80-89,MADDALENA,21
80-89,MARIA ROSA,21
90 e oltre,MARIA,219
90 e oltre,BRUNA,112
90 e oltre,LILIANA,92
90 e oltre,GIULIANA,87
90 e oltre,ANNA,77
90 e oltre,ANNA MARIA,76
90 e oltre,GINA,73
90 e oltre,LINA,71
90 e oltre,RINA,64
90 e oltre,DINA,60
90 e oltre,ADRIANA,60
90 e oltre,ADA,57
90 e oltre,RITA,53
90 e oltre,IDA,51
90 e oltre,GIUSEPPINA,51
90 e oltre,SILVANA,51
90 e oltre,PIERINA,47
90 e oltre,GIOVANNA,46
90 e oltre,ELENA,43
90 e oltre,RENATA,43
90 e oltre,OLGA,40
90 e oltre,TOSCA,39
90 e oltre,MARIA LUISA,39
90 e oltre,IOLANDA,38
90 e oltre,NELLA,38
90 e oltre,FERNANDA,37
90 e oltre,BIANCA,36
90 e oltre,GIULIA,35
90 e oltre,MARGHERITA,34
90 e oltre,INES,34
90 e oltre,TERESA,34
90 e oltre,IRMA,33
90 e oltre,LEDA,32
90 e oltre,LIDIA,32
90 e oltre,CLARA,32
90 e oltre,MARISA,31
90 e oltre,ROSA,30
90 e oltre,VITTORIA,30
90 e oltre,MARCELLA,28
90 e oltre,EMMA,27
90 e oltre,FLORA,26
90 e oltre,ELDA,26
90 e oltre,ANNITA,26
90 e oltre,VANDA,25
90 e oltre,CARMELA,25
90 e oltre,GIUSEPPA,25
90 e oltre,LUISA,25
90 e oltre,FRANCESCA,24
90 e oltre,ASSUNTA,24
90 e oltre,NATALINA,24
90 e oltre,ANGELA,23
90 e oltre,TINA,23
90 e oltre,ELVIRA,23
90 e oltre,FRANCA,23
90 e oltre,NORMA,23
90 e oltre,FIORENZA,23
90 e oltre,CATERINA,22
90 e oltre,ELSA,22
90 e oltre,LAURA,22
90 e oltre,MILENA,22
90 e oltre,LICIA,22
90 e oltre,MARINA,22
90 e oltre,ANNUNZIATA,21
